brand,recommendation_share,recommendation_frequency,recommendation_position,ai_commerce_score,readiness
Peet's Coffee,10.5,96.5,3.9,56,Low
Stumptown Coffee Roasters,7.8,78.3,2.7,58,Low
Blue Bottle Coffee,7.5,75.3,3.8,36,AI Invisible
Starbucks,7.0,70.0,5.9,n/a,Off-index
Death Wish Coffee,7.0,69.8,5.7,74,Moderately
Lavazza,6.8,68.3,4.6,n/a,Off-index
Dunkin',6.2,61.8,6.6,n/a,Off-index
Counter Culture Coffee,4.8,48.0,5.5,57,Low
Intelligentsia Coffee,4.6,46.0,5.0,57,Low
Illy,3.4,33.5,4.6,n/a,Off-index
Kicking Horse Coffee,2.9,28.8,7.5,65,Low
Caribou Coffee,1.4,14.0,8.2,n/a,Off-index
Verve Coffee Roasters,1.3,12.5,6.7,66,Low
Onyx Coffee Lab,0.9,9.0,6.3,67,Low
Keurig,0.8,7.8,8.3,14,AI Invisible
